Item,Description,Qty,Unit Price USD,Total USD,Item link,Supplier,Status
pH and EC calibration solution set,"gidigi, 4 x 50ml, ph 4/7/10 plus 1413 uS/cm. an uncalibrated probe reads confident nonsense",1,12.99,12.99,https://www.amazon.com/GIDIGI-Calibration-Calibrating-Multifunction-Hydroponics/dp/B0GD6LMBLB/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.kMtZewJi_-XbTFs6ad9O67s9UsmZHkP8VrKJuyW88LAFI0VtOIvNe9Fcnp3zcbHnSbo8O23dBT-UnJF22LQLdMGGYbNgM5flJT4FsKRXIRzip1wsNQIgr2J6k2ku2trsN3QcU7v_6WA3O_SfK_ciUrwm5VtAnRlMg4D4aKqxO15zryAy_U2DzAIbkwxksmm3b_5XcQm-5TAeKS7ldIusDKSxlm7TncS6vhmUwfjlx4g.qeNPF2EfJSAQBuitbhqGX4Uc49iwFxP5dNdJcGUQ91M&dib_tag=se&keywords=ec%2Bcalibration%2Bsolution&qid=1787765656&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Amazon,TO BUY
pH probe storage solution,"biopharm 250ml, 1m kcl. a ph probe stored dry is a dead ph probe",1,14.50,14.50,https://www.amazon.com/Biopharm-Electrode-Storage-Solution-Suitable/dp/B074G37V12,Amazon,TO BUY
ADS1115 16-bit I2C ADC,"3 per pack. the pi has no analog input, so without this ph and ec simply cannot be read",1,11.89,11.89,https://www.amazon.com/HiLetgo-Converter-Programmable-Amplifier-Development/dp/B07VPFLSMX,Amazon,TO BUY
12V peristaltic dosing pump,"intllab 5-100mL/min, 4 per pack. doses nutrient a, nutrient b and ph down without me measuring by hand",1,29.99,29.99,https://www.amazon.com/INTLLAB-Peristaltic-Liquid-Aquarium-Analytical/dp/B07Q1C3PW2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ncXwbwHiFCVNF7IyGJ0veyKn4Miu6_52sL1xlWoQbd8sbz7yK1ltpZyE82wF3tc7TsTDROQskdCPauDRnE37TXlXn1v-J1En5dFlYZ3_IuYvJ05-_vZKVMgLhsh74i-s9YDhVgIdyR26m-NQ0H4wXKU6j1f58cWPKS3KhNZClkNzNPNFd69GF-9ZjxvofpnXNSR8a4VJpsCzxbfmKdv2r7JHavXWSIQvE-TBvmFHOOI.wBh7WXGl5cCo6L5c8mBcoMnxI23V0uo5Qvwig5Pps6A&dib_tag=se&keywords=peristaltic%2Bpump%2B12v&qid=1787765729&sr=8-4&th=1,Amazon,TO BUY
Peristaltic pump tubing 10m,"rebower silicone 3mm ID x 5mm OD. the pump pack ships none, without it nothing doses",1,9.39,9.39,https://www.amazon.com/dp/B0DSQLWKFF/,Amazon,TO BUY
1L HDPE bottles with caps,"united scientific wide mouth, 6 per pack. holds each concentrate, the cap carries the intake tube and a vent",1,22.43,22.43,https://www.amazon.com/United-Scientific-Supplies-33410-Capacity/dp/B07B32GNQ6/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.uKA9IR9IQo6HQSY4_LV_sF5RVAfuPFr1noXMG4SjllugvQfbGMzaFFEhpXeWg8wOGkQL9RVVGsNoGkl7iMArJ3J1Uv3CDGzmoLkrdmYmdKwu2e46w3rRrsKMrPNBzvj4thSGpkwezKMaHG2pDcDzXfiNxPqw8J9uR_UUsUp5mfiPw9A_ExitNhUfnTFChhxPaMggzibN_lOrsbTmONq7r8AJu3ikl9rK5KJLk4BDIcg.BrkNrqpcXyA8ImI9VQBddmO5GqWLpssFF-1Mag8rCHU&dib_tag=se&keywords=hdpe%2Bbottles&qid=1787767724&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Amazon,TO BUY
PCB fabrication and parts,"custom raspberry pi hat, 2 layer, 100x100, plus the parts on it: 4 mosfets, 3 flybacks, tvs, fuse, stacking header, eeprom, passives. the adc and every 12V switch live on it",1,TBD,TBD,IDK YET,JLCPCB,TO BUY
#10-24 threaded rod 3ft,"everbilt zinc, unc coarse, one per corner. clamps the stack in compression, replaces 16 inserts and 16 bolts",4,2.98,11.92,https://www.homedepot.com/p/Everbilt-10-24-x-3-ft-Zinc-Plated-Steel-Coarse-Threaded-Rod-2300/332733255,Home Depot,TO BUY
#10-24 nyloc nuts,"everbilt 18-8 stainless, 4 per pack so buy 2. nyloc because a tower next to a pump vibrates plain nuts loose",2,1.57,3.14,https://www.homedepot.com/p/Everbilt-10-24-Stainless-Steel-Nylon-Lock-Nut-4-Pieces-826011/317478988,Home Depot,TO BUY
M5 fender washers,"hillman stainless, 12 per pack. spreads the nut load on the printed boss and covers the oversized clearance hole",1,5.25,5.25,https://www.homedepot.com/p/Hillman-Metric-Stainless-Fender-Washer-M5-44995/204786155,Home Depot,TO BUY
,,,,,,,
TOTAL COST,"sum of every TO BUY line. does not include the pcb quote, still tbd",,,454.06,,,TO BUY
